Country,financial_year,calendar_year,calendar_month,DISCOM,State,city,ev_stations,hd_stations,ev_kwh,hd_kwh,total_mu
India,2023-24,2023,8,BYPL,DELHI,new delhi,1200,2,2698760,996120,3.695
India,2023-24,2023,8,JVVNL,RAJ,"alwar, dausa, jcc, jpdc",172,11,430496,83625,0.514
India,2023-24,2023,8,JDVVNL,RAJ,pali,,11,430496,83625,0.514121
India,2023-24,2023,8,AVVNL,RAJ,ajmer,34,0,17127,0,0.017
India,2023-24,2023,8,UHBVN,HARYANA,"panchkula, karnal, kaithal, sonipat, ambala, kurukshetra",15,0,15344,0,0.015
India,2023-24,2023,8,DHBVN,HARYANA,"faridabad, gurugram, hisar, rewari, sirsa, narnaul, palwal",64,0,1058482,0,1.058
India,2023-24,2023,8,,CHANDIGARH,chandigarh,21,6,26836,606530,0.633
India,2023-24,2023,8,MSEDCL,MAH,"navi mumbai, pune, thane, nagpur",2782,17,652263,7178071,7.83
India,2023-24,2023,8,Brihan Mumbai Electric Supply Company (BEST),MAH,mumbai (best),46,34,223432,1843499,2.067
India,2023-24,2023,8,UGVCL,GUJ,"hebatpur, bavla (ramnagar), fedra, dholasan, asal, modasa, majadar, nugar, rangpur",27,0,14916,0,0.015
India,2023-24,2023,8,PGVCL,GUJ,"rajkot, surendranagar, junagadh, jamnagar, morbi, botad",25,3,24269,313184,0.337
India,2023-24,2023,8,Torrent Power,GUJ,ahemdabad,27,7,13101,1764649,1.778
India,2023-24,2023,8,CESC Mysore,KAR,"mysore, mandya, hassan, kodagu",21,3,10112,197518,0.208
India,2023-24,2023,8,MESCOM,KAR,"mangaluru, udupi, shivamogga, chikkamagaluru",67,2,19805,100752,0.121
India,2023-24,2023,8,GESCOM,KAR,kalaburgi,1,0,1619,0,0.002
